                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      0.0000000000000000e+00,      0.0000000000000000e+00,      0.0000000000000000e+00
      1.0000000000000000e-02,     -9.5525619317260243e+03,     -1.4036130558987594e+01
      2.0000000000000000e-02,      3.0181467542213113e+03,     -3.8765736072254628e+00
      2.9999999999999999e-02,     -9.5554666358230492e+01,     -6.7132662006966415e+00
      4.0000000000000001e-02,     -1.1283436223036844e+02,     -9.0944034491154024e+00
      5.0000000000000003e-02,     -1.0465369567099647e+02,     -1.0815986842448419e+01
      6.0000000000000005e-02,     -8.6502825027593701e+01,     -1.2073083849353116e+01
      7.0000000000000007e-02,     -7.4392863143939707e+01,     -1.3499322337073780e+01
      8.0000000000000002e-02,     -7.5316019693710018e+01,     -1.5609036659556896e+01
      8.9999999999999997e-02,     -8.5721094613445899e+01,     -1.8097263894863033e+01
      9.9999999999999992e-02,     -9.7500689576655105e+01,     -2.0041595653220948e+01
      1.0999999999999999e-01,     -1.0434598552057912e+02,     -2.0557093072948096e+01
      1.1999999999999998e-01,     -1.0457892705647730e+02,     -1.9484179128718452e+01
      1.2999999999999998e-01,     -1.0036229924437400e+02,     -1.7883459217007172e+01
      1.3999999999999999e-01,     -9.5193970010093665e+01,     -1.7453889553945391e+01
      1.4999999999999999e-01,     -9.1303164717156534e+01,     -1.9263135168937303e+01
      1.6000000000000000e-01,     -8.8534363004561470e+01,     -2.2900286032377824e+01
      1.7000000000000001e-01,     -8.5692625315739363e+01,     -2.6482524736130149e+01
      1.8000000000000002e-01,     -8.2629687238591032e+01,     -2.7689015818389148e+01
      1.9000000000000003e-01,     -8.0422222876970196e+01,     -2.5478332802605848e+01
      2.0000000000000004e-01,     -7.9955628632755889e+01,     -2.0883038654586468e+01
      2.1000000000000005e-01,     -8.1072529559370025e+01,     -1.5875485431866551e+01
      2.2000000000000006e-01,     -8.2887399646004766e+01,     -1.1801799619486966e+01
      2.3000000000000007e-01,     -8.4560684226853397e+01,     -8.9044102275480430e+00
      2.4000000000000007e-01,     -8.5763911691008161e+01,     -6.6923263391943841e+00
      2.5000000000000006e-01,     -8.6470314148004206e+01,     -4.8002840996491782e+00
      2.6000000000000006e-01,     -8.6637535145189815e+01,     -4.0937440148968642e+00
      2.7000000000000007e-01,     -8.6264482918848415e+01,     -6.5269133529816203e+00
      2.8000000000000008e-01,     -8.5159495089972012e+01,     -1.3193906230807364e+01
      2.9000000000000009e-01,     -8.2630136914728382e+01,     -2.2983664917621041e+01
      3.0000000000000010e-01,     -7.8554222909988667e+01,     -3.3981343621954650e+01
      3.1000000000000011e-01,     -7.4213479784829886e+01,     -4.5668058224958521e+01
      3.2000000000000012e-01,     -7.0683463598318738e+01,     -5.8117298201901242e+01
      3.3000000000000013e-01,     -6.8119233339848506e+01,     -6.9957972487164412e+01
      3.4000000000000014e-01,     -6.7034762642760512e+01,     -7.9214482681461035e+01
      3.5000000000000014e-01,     -6.8541758006065251e+01,     -8.6236206381458146e+01
      3.6000000000000015e-01,     -7.4039138691833585e+01,     -9.3317932496494379e+01
      3.7000000000000016e-01,     -8.4988146153128554e+01,     -1.0103580663989000e+02
      3.8000000000000017e-01,     -1.0177617007965088e+02,     -1.0715209485404661e+02
      3.9000000000000018e-01,     -1.2234191361098641e+02,     -1.0961054919569892e+02
      4.0000000000000019e-01,     -1.4321244862859388e+02,     -1.1032028327756751e+02
      4.1000000000000020e-01,     -1.5847866902645075e+02,     -1.1373062080510631e+02
      4.2000000000000021e-01,     -1.6137460602848188e+02,     -1.2092649969887822e+02
      4.3000000000000022e-01,     -1.5326178929395616e+02,     -1.3027309385715557e+02
      4.4000000000000022e-01,     -1.3612989629421617e+02,     -1.4090327449602842e+02
      4.5000000000000023e-01,     -1.0745835510151196e+02,     -1.4981038727284439e+02
      4.6000000000000024e-01,     -7.8586917670184789e+01,     -1.5153554177554881e+02
      4.7000000000000025e-01,     -6.0926505634971761e+01,     -1.3220583470697949e+02
      4.8000000000000026e-01,     -5.3416314266350525e+01,     -9.6617979637671340e+01
      4.9000000000000027e-01,     -7.1144821543582538e+01,     -6.7168966230016522e+01
      5.0000000000000022e-01,     -1.0737858617318277e+02,     -5.5162667855580153e+01
      5.1000000000000023e-01,     -1.4033047273029399e+02,     -6.6863526542365534e+01
      5.2000000000000024e-01,     -1.3469774203403028e+02,     -7.8185034237013639e+01
      5.3000000000000025e-01,     -7.9081611696353036e+01,     -6.1403885715491867e+01
      5.4000000000000026e-01,      1.2171745273007971e+01,     -2.0683250952501606e+01
      5.5000000000000027e-01,      1.2989883692601921e+02,      2.5422607331205889e+01
      5.6000000000000028e-01,      2.2718483139484380e+02,      3.4857533368995419e+01
      5.7000000000000028e-01,      2.3059222277632026e+02,     -2.8933900847587832e+01
      5.8000000000000029e-01,     -2.0246280069507978e+02,     -9.7567341186527969e+01
      5.9000000000000030e-01,     -7.9996583354947256e+02,     -9.7277658179108315e+01
      6.0000000000000031e-01,     -1.6072130461269689e+03,      3.4227299213271016e+02
      6.1000000000000032e-01,      1.1493259191185919e+03,      4.0779304994239453e+02
      6.2000000000000033e-01,     -3.9132375257774106e+02,      7.3026723012741542e+01
      6.3000000000000034e-01,      1.0228529727346836e+02,     -5.6923778782075829e+02
