                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      0.0000000000000000e+00,      0.0000000000000000e+00,      0.0000000000000000e+00
      1.0000000000000000e-02,     -9.5610291612388683e+03,     -1.4004710235509021e+01
      2.0000000000000000e-02,      3.0133802007087479e+03,     -3.6226886381964527e+00
      2.9999999999999999e-02,     -1.0027049979444988e+02,     -6.4549221974277078e+00
      4.0000000000000001e-02,     -1.1568598938382696e+02,     -8.6518972631367781e+00
      5.0000000000000003e-02,     -1.0709010690584942e+02,     -1.0181371480762392e+01
      6.0000000000000005e-02,     -8.9808616028265547e+01,     -1.1295682453164453e+01
      7.0000000000000007e-02,     -7.8616591643020172e+01,     -1.2622884203823897e+01
      8.0000000000000002e-02,     -7.9491311976573684e+01,     -1.4620770950611856e+01
      8.9999999999999997e-02,     -8.8978594712361669e+01,     -1.6988453364609253e+01
      9.9999999999999992e-02,     -9.9857553851579524e+01,     -1.8875458131000528e+01
      1.0999999999999999e-01,     -1.0661191339173018e+02,     -1.9453985238220948e+01
      1.1999999999999998e-01,     -1.0766028750143269e+02,     -1.8551147509949612e+01
      1.2999999999999998e-01,     -1.0464355243496679e+02,     -1.7059823687401082e+01
      1.3999999999999999e-01,     -1.0042901598088353e+02,     -1.6431479293204028e+01
      1.4999999999999999e-01,     -9.7069784241191343e+01,     -1.7632398357125616e+01
      1.6000000000000000e-01,     -9.4830054980089855e+01,     -2.0443609389300413e+01
      1.7000000000000001e-01,     -9.2969405866202194e+01,     -2.3465727287241656e+01
      1.8000000000000002e-01,     -9.1176243445419729e+01,     -2.4955846293580915e+01
      1.9000000000000003e-01,     -8.9901828636210951e+01,     -2.4089242632733544e+01
      2.0000000000000004e-01,     -8.9645243715198447e+01,     -2.1503953503898106e+01
      2.1000000000000005e-01,     -9.0404312995754154e+01,     -1.8568727107305438e+01
      2.2000000000000006e-01,     -9.1726870271264801e+01,     -1.6314537876636461e+01
      2.3000000000000007e-01,     -9.3092195815383633e+01,     -1.5035491219845872e+01
      2.4000000000000007e-01,     -9.4254310856849486e+01,     -1.4493186904594442e+01
      2.5000000000000006e-01,     -9.5238647366512694e+01,     -1.4355123500471617e+01
      2.6000000000000006e-01,     -9.6112937797637855e+01,     -1.4652518070332805e+01
      2.7000000000000007e-01,     -9.6884655295858252e+01,     -1.5819354929336544e+01
      2.8000000000000008e-01,     -9.7485437436740170e+01,     -1.8206940366582625e+01
      2.9000000000000009e-01,     -9.7713532233295950e+01,     -2.1718701151862934e+01
      3.0000000000000010e-01,     -9.7315339596188167e+01,     -2.6004436567925303e+01
      3.1000000000000011e-01,     -9.6231365195077530e+01,     -3.0930461790581987e+01
      3.2000000000000012e-01,     -9.4725676524165962e+01,     -3.6755669715939014e+01
      3.3000000000000013e-01,     -9.3359898826669124e+01,     -4.3697088878172117e+01
      3.4000000000000014e-01,     -9.2862229915182326e+01,     -5.1275470930576716e+01
      3.5000000000000014e-01,     -9.3764345412607341e+01,     -5.8366512240364663e+01
      3.6000000000000015e-01,     -9.6136724295284694e+01,     -6.4041153527722884e+01
      3.7000000000000016e-01,     -9.9758072734083001e+01,     -6.8072262730485363e+01
      3.8000000000000017e-01,     -1.0446217413123772e+02,     -7.0591884964218394e+01
      3.9000000000000018e-01,     -1.1019513037852587e+02,     -7.1567883106937600e+01
      4.0000000000000019e-01,     -1.1669007848924983e+02,     -7.1019993379248604e+01
      4.1000000000000020e-01,     -1.2381716068257528e+02,     -6.9679159039075032e+01
      4.2000000000000021e-01,     -1.3190999769426350e+02,     -6.8742456240511757e+01
      4.3000000000000022e-01,     -1.4061389669519261e+02,     -6.8480392871728014e+01
      4.4000000000000022e-01,     -1.4853397216576286e+02,     -6.7546759737260288e+01
      4.5000000000000023e-01,     -1.5453677769836511e+02,     -6.4635359847983139e+01
      4.6000000000000024e-01,     -1.5815805360812473e+02,     -6.0313396134383822e+01
      4.7000000000000025e-01,     -1.5899794588887363e+02,     -5.6220511816782981e+01
      4.8000000000000026e-01,     -1.5818936144226439e+02,     -5.3105487480709989e+01
      4.9000000000000027e-01,     -1.5804120826710334e+02,     -5.0946928852650714e+01
      5.0000000000000022e-01,     -1.5747779485001155e+02,     -4.9181289625828960e+01
      5.1000000000000023e-01,     -1.5307192185574226e+02,     -4.7178200046512906e+01
      5.2000000000000024e-01,     -1.4428924007458681e+02,     -4.4745489657558714e+01
      5.3000000000000025e-01,     -1.3314585740593972e+02,     -4.1538896303089736e+01
      5.4000000000000026e-01,     -1.2164140945955971e+02,     -3.7284943886654567e+01
      5.5000000000000027e-01,     -1.1181985216844271e+02,     -3.2860318796598058e+01
      5.6000000000000028e-01,     -1.0469368302547099e+02,     -3.0083772951097064e+01
      5.7000000000000028e-01,     -9.9999726304254210e+01,     -2.9406947074253971e+01
      5.8000000000000029e-01,     -9.7116707199431943e+01,     -2.9871907619989305e+01
      5.9000000000000030e-01,     -9.5746799832291543e+01,     -3.0941294655736503e+01
      6.0000000000000031e-01,     -9.5827014687494852e+01,     -3.2547290590754585e+01
      6.1000000000000032e-01,     -9.7463689089460416e+01,     -3.4711111654309150e+01
      6.2000000000000033e-01,     -1.0111435017694407e+02,     -3.8042044525770109e+01
      6.3000000000000034e-01,     -1.0614380565464614e+02,     -4.2977375790919425e+01
      6.4000000000000035e-01,     -1.0970917909925495e+02,     -4.8448856563231971e+01
      6.5000000000000036e-01,     -1.0934594668344074e+02,     -5.2672662060869754e+01
      6.6000000000000036e-01,     -1.0716678463698707e+02,     -5.5419730260403249e+01
      6.7000000000000037e-01,     -1.0938702353458061e+02,     -5.9214726726099478e+01
      6.8000000000000038e-01,     -1.1812697605411017e+02,     -6.7426996296027539e+01
      6.9000000000000039e-01,     -1.2655075629136242e+02,     -7.9456732492856418e+01
      7.0000000000000040e-01,     -1.3158481521677029e+02,     -8.9288603635327831e+01
      7.1000000000000041e-01,     -1.3983475110740395e+02,     -9.1045217048276882e+01
      7.2000000000000042e-01,     -1.4593090179564970e+02,     -8.8631118003973299e+01
      7.3000000000000043e-01,     -1.3845344464877692e+02,     -9.0896509368700009e+01
      7.4000000000000044e-01,     -1.2177281701915626e+02,     -9.8515158520457021e+01
      7.5000000000000044e-01,     -1.1067021299723467e+02,     -1.0434040026200752e+02
      7.6000000000000045e-01,     -1.1450567425097408e+02,     -1.0470158729319998e+02
      7.7000000000000046e-01,     -1.2055810139689808e+02,     -1.0928978733924401e+02
      7.8000000000000047e-01,     -1.1028516079033423e+02,     -1.1517969247543255e+02
      7.9000000000000048e-01,     -8.8636230326003968e+01,     -1.1670797541035435e+02
      8.0000000000000049e-01,     -7.0618142791889014e+01,     -1.1379938427999180e+02
      8.1000000000000050e-01,     -6.6832805121269004e+01,     -1.0759470294615863e+02
      8.2000000000000051e-01,     -8.0523293051211567e+01,     -1.0812529272721380e+02
      8.3000000000000052e-01,     -1.0457784047668190e+02,     -1.1644209102285021e+02
      8.4000000000000052e-01,     -1.3265674525820174e+02,     -1.1545067539093779e+02
      8.5000000000000053e-01,     -1.5359431803935246e+02,     -9.8052084051022078e+01
      8.6000000000000054e-01,     -1.4843561313021988e+02,     -6.5224401340845418e+01
      8.7000000000000055e-01,     -1.1093735183272250e+02,     -2.8882458791312594e+01
      8.8000000000000056e-01,     -5.6266669940693909e+01,      1.0436634322448293e+00
      8.9000000000000057e-01,     -4.5040023209988263e+01,      1.6738941064275838e+01
      9.0000000000000058e-01,     -3.9355132826528674e+01,     -8.1992873181687975e-01
      9.1000000000000059e-01,     -1.1475611201832145e+01,     -2.9819269219934739e+01
      9.2000000000000060e-01,      6.2219477316785486e+01,     -6.4673590516127035e+01
      9.3000000000000060e-01,      1.7694428194270546e+02,     -8.4667163625549378e+01
      9.4000000000000061e-01,      6.2339294190540791e+01,     -8.9710997198345524e+01
      9.5000000000000062e-01,     -1.0611426312510702e+02,     -2.1720236783027914e+02
      9.6000000000000063e-01,     -5.0439921221733891e+02,     -1.0950380593706606e+02
      9.7000000000000064e-01,     -5.0926807453795362e+02,     -3.2543159680598831e+02
      9.8000000000000065e-01,     -3.5076493909546906e+02,      7.5487195251766082e+01
      9.9000000000000066e-01,     -4.7868427512466189e+02,      7.2969353131857517e+01
      1.0000000000000007e+00,     -7.9234111321810701e+01,      3.7280738436721089e+02
      1.0100000000000007e+00,     -4.7014052322977602e+02,      1.0633487505016230e+03
      1.0200000000000007e+00,     -1.1149004373388453e+02,      4.8036651776401771e+02
      1.0300000000000007e+00,     -1.0682168724565206e+03,      9.0074102704304789e+02
      1.0400000000000007e+00,      9.0351010306189437e+01,      1.4545509138096307e+02
      1.0500000000000007e+00,     -1.4980480863495583e+02,      1.1631019228706696e+03
      1.0600000000000007e+00,     -9.4182673402996193e+02,     -4.7614301354665866e+02
      1.0700000000000007e+00,     -2.7536716135412371e+03,     -2.5439603558929160e+04
      1.0800000000000007e+00,     -2.4266246281316323e+05,     -4.8685670494836231e+03
      1.0900000000000007e+00,      1.8499277457703792e+06,     -3.5287797876285134e+04
      1.1000000000000008e+00,      1.6019217222537804e+07,     -1.1319869356677303e+07
      1.1100000000000008e+00,     -5.4335434469800019e+08,     -1.7886015025311041e+08
      1.1200000000000008e+00,      1.0330318009632379e+06,      3.5743514922646952e+08
      1.1300000000000008e+00,      1.3872166993060702e+08,     -4.8303447779244316e+08
      1.1400000000000008e+00,     -1.6308099866956450e+07,     -2.6830818646676224e+07
      1.1500000000000008e+00,     -6.4628378970496416e+07,      7.4783201803470984e+07
      1.1600000000000008e+00,      3.5805698805026329e+08,      1.4272856077373740e+08
      1.1700000000000008e+00,      1.6256888159571048e+07,      1.3806969566033190e+08
      1.1800000000000008e+00,     -2.6755368249548197e+07,      1.9817325269956868e+07
      1.1900000000000008e+00,      6.6661756682459533e+07,      1.1611663986281079e+08
      1.2000000000000008e+00,     -1.1593312636857145e+08,      9.7461160572528571e+07
      1.2100000000000009e+00,     -2.2308029212335318e+07,      1.1149990044189636e+07
      1.2200000000000009e+00,     -5.6068553026874870e+07,     -2.5666561792146683e+07
      1.2300000000000009e+00,      4.4769606988345307e+08,      8.2443119209151959e+08
      1.2400000000000009e+00,      2.1135925838225536e+07,     -2.7374107151619092e+07
      1.2500000000000009e+00,      1.5670688912842685e+07,      2.9915736923168432e+06
      1.2600000000000009e+00,     -8.5213414680511281e+06,      9.4162647645692080e+06
      1.2700000000000009e+00,     -2.6776077097012073e+07,      7.1802542225696789e+06
      1.2800000000000009e+00,     -1.9666049179697990e+07,      2.3706365705138287e+08
      1.2900000000000009e+00,     -6.2033038222690713e+08,     -2.6531626731105343e+08
      1.3000000000000009e+00,      1.0114766385746177e+09,      1.6912426360135582e+08
      1.3100000000000009e+00,      6.6666066235268002e+09,     -1.0600941141459540e+09
      1.3200000000000010e+00,      4.4993890802244449e+08,      6.4229525139001358e+08
      1.3300000000000010e+00,      6.6707781061480656e+09,     -1.4335157008222538e+10
      1.3400000000000010e+00,      1.7907932339317968e+09,      1.3635522570708172e+09
      1.3500000000000010e+00,      1.5393923505527645e+07,      4.0900447108198309e+08
      1.3600000000000010e+00,      4.5453444859730639e+05,     -8.7552704805165306e+07
